param,value,conductor_segments,topology_nodes,topology_edges,endpoints,boundaries_resolved,boundaries_conflicted,wires,wires_resolved,wires_unresolved,wires_conflicted,electrical_nets,shared_segments,validation_errors,validation_warnings,valid_wires,conflicted_endpoint_ids
terminal_recognition.terminal_lead_max_distance,7.0,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
shapes.contour_threshold,162,285,664,834,206,31,3,42,42,0,0,8,2,0,37,42,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-bb8c52ba80255fa6;endpoint-candidate-c033140e251b7b86
shapes.contour_threshold,171,286,673,854,203,46,3,42,42,0,0,10,3,0,29,42,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
shapes.contour_threshold,189,289,688,870,214,44,5,47,47,0,0,12,2,0,31,47,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-7b8b0ec5ae054b51;endpoint-candidate-b06048fbeb206768;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86
shapes.contour_threshold,198,286,684,871,208,42,5,39,39,0,0,10,0,0,30,39,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-7b8b0ec5ae054b51;endpoint-candidate-b06048fbeb206768;endpoint-candidate-c033140e251b7b86;endpoint-candidate-ed80cc175401e02d
diagram_furniture.minimum_cluster_size,14,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.minimum_cluster_size,15,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.minimum_cluster_size,17,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.minimum_cluster_size,18,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.max_neighbor_gap_px,36,294,692,877,210,37,5,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-8827e7b71853e251;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.max_neighbor_gap_px,40,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.max_neighbor_gap_px,44,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
diagram_furniture.max_neighbor_gap_px,49,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
